id,session_log_id,useraccount_id,subject_id,counter,class_id,school_id,is_parent_post,reply_to_post_id,karma_awarded_id,comment_text,label,image_url,document_url,is_active,is_moved,is_hidden,is_starred,is_sticky,is_welcome_post,last_poster_permissions,access_permissions,answer_status_flags,ts_created,ts_modified,type
8144,676326,940889,1,9143,,11204,0,8126,,Gonna shoot myself I shoulder known how to do that :/,1,,,1,0,0,0,,,,4294967295,0,11/2/2013 3:46,11/2/2013 3:46,unsafe
11048,676343,940889,1,12047,,11204,0,11024,,Mohamad shut your mouth please I don't like being insulted,1,,,0,0,0,0,,,,4294967295,0,11/5/2013 2:00,11/5/2013 2:00,unsafe
11696,661378,920879,1,12695,,11802,0,11691,,"i completly agree with you daniel, now go to hell.
",1,,,0,0,0,0,,,,4294967295,0,11/5/2013 16:41,11/5/2013 16:41,unsafe
11700,661378,920879,1,12699,,11802,0,11691,,"i completly agree with you daniel, now go to hell.
",1,,,0,0,0,0,,,,4294967295,0,11/5/2013 16:41,11/5/2013 16:41,unsafe
17102,676374,940889,1,18101,,11204,0,17096,,Oh go well now that I look at James' answer I feel like an idiot...,1,,,1,0,0,0,,,,4294967295,0,11/11/2013 1:12,11/11/2013 1:12,unsafe
20121,609986,794414,1,21120,,11644,0,20084,,im sorry too but grant dont be a suck up,1,,,0,0,0,0,,,,4294967295,0,11/18/2013 15:49,11/18/2013 15:49,unsafe
32824,611757,800309,1,33823,,11671,0,32823,,"do it yourself I DNT WANT TO DO IT SUCK BUTT
",1,,,1,0,0,0,,,,4294967295,0,12/12/2013 13:44,12/12/2013 13:44,unsafe
32846,611757,800309,1,33845,,11671,0,32826,,"out of all things nd u put  ''BOFL'' u suck
",1,,,0,0,0,0,,,,4294967295,0,12/12/2013 14:04,12/12/2013 14:04,unsafe
40364,656217,919005,1,41363,,11970,0,40351,,"Yes, but only if you act up, by say spamming the wall, making useless posts, or just be a jerk to people, etc.",1,,,1,0,0,0,,,,4294967295,0,1/7/2014 0:54,5/9/2014 23:02,unsafe
41386,671426,934953,1,42385,,11204,0,41364,,Oh sorry and 1-1 is 0 so we get 2x=-1 divide bith sides by 2,1,,,1,0,0,0,,,,4294967295,0,1/8/2014 1:03,1/8/2014 1:03,unsafe
43838,665975,926983,1,44837,,11478,0,43832,,somebody talk to me... i decided to sit back here like an idiot,1,,,0,0,0,0,,,,4294967295,0,1/9/2014 20:38,1/9/2014 20:38,unsafe
43842,665975,926983,1,44841,,11478,0,43832,,juvian if i could curse without getting kicked from the site i would like so start the S***,1,,,0,0,0,0,,,,4294967295,0,1/9/2014 20:41,1/9/2014 20:41,unsafe
66781,225064,1445165,1,67780,,12427,0,66770,,learn how to ride dick then come talk to me Ok:),1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:37,1/30/2014 15:37,unsafe
66793,162007,1321928,1,67792,,12970,0,66770,,"Omg.... you do realize that you are a nasty pervert, right? Geezus, calm urself!!! ",1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:40,1/30/2014 15:40,unsafe
66816,225064,1445165,1,67815,,12427,0,66804,,bitch i got my diploma and im going to college in a month so shut up #dumbsluts,1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:46,1/30/2014 15:46,unsafe
