id,session_log_id,useraccount_id,subject_id,counter,class_id,school_id,is_parent_post,reply_to_post_id,karma_awarded_id,comment_text,label,image_url,document_url,is_active,is_moved,is_hidden,is_starred,is_sticky,is_welcome_post,last_poster_permissions,access_permissions,answer_status_flags,ts_created,ts_modified,TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
8144,676326,940889,1,9143,,11204,0,8126,,Gonna shoot myself I shoulder known how to do that :/,1,,,1,0,0,0,,,,4294967295,0,11/2/2013 3:46,11/2/2013 3:46,1,0,0,1,1,0
11048,676343,940889,1,12047,,11204,0,11024,,Mohamad shut your mouth please I don't like being insulted,1,,,0,0,0,0,,,,4294967295,0,11/5/2013 2:00,11/5/2013 2:00,1,1,1,1,0,0
11696,661378,920879,1,12695,,11802,0,11691,,"i completly agree with you daniel, now go to hell.
",1,,,0,0,0,0,,,,4294967295,0,11/5/2013 16:41,11/5/2013 16:41,1,0,1,1,1,0
11700,661378,920879,1,12699,,11802,0,11691,,"i completly agree with you daniel, now go to hell.
",1,,,0,0,0,0,,,,4294967295,0,11/5/2013 16:41,11/5/2013 16:41,1,0,1,1,1,0
17102,676374,940889,1,18101,,11204,0,17096,,Oh go well now that I look at James' answer I feel like an idiot...,0,,,1,0,0,0,,,,4294967295,0,11/11/2013 1:12,11/11/2013 1:12,1,0,1,1,0,0
20121,609986,794414,1,21120,,11644,0,20084,,im sorry too but grant dont be a suck up,1,,,0,0,0,0,,,,4294967295,0,11/18/2013 15:49,11/18/2013 15:49,1,0,1,1,0,1
32824,611757,800309,1,33823,,11671,0,32823,,"do it yourself I DNT WANT TO DO IT SUCK BUTT
",1,,,1,0,0,0,,,,4294967295,0,12/12/2013 13:44,12/12/2013 13:44,1,0,1,1,0,1
32846,611757,800309,1,33845,,11671,0,32826,,"out of all things nd u put  ''BOFL'' u suck
",1,,,0,0,0,0,,,,4294967295,0,12/12/2013 14:04,12/12/2013 14:04,1,0,1,1,0,1
40364,656217,919005,1,41363,,11970,0,40351,,"Yes, but only if you act up, by say spamming the wall, making useless posts, or just be a jerk to people, etc.",1,,,1,0,0,0,,,,4294967295,0,1/7/2014 0:54,5/9/2014 23:02,1,0,1,1,0,0
41386,671426,934953,1,42385,,11204,0,41364,,Oh sorry and 1-1 is 0 so we get 2x=-1 divide bith sides by 2,0,,,1,0,0,0,,,,4294967295,0,1/8/2014 1:03,1/8/2014 1:03,1,0,1,1,0,1
43838,665975,926983,1,44837,,11478,0,43832,,somebody talk to me... i decided to sit back here like an idiot,1,,,0,0,0,0,,,,4294967295,0,1/9/2014 20:38,1/9/2014 20:38,1,0,1,1,0,0
43842,665975,926983,1,44841,,11478,0,43832,,juvian if i could curse without getting kicked from the site i would like so start the S***,0,,,0,0,0,0,,,,4294967295,0,1/9/2014 20:41,1/9/2014 20:41,1,0,1,1,1,1
66781,225064,1445165,1,67780,,12427,0,66770,,learn how to ride dick then come talk to me Ok:),1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:37,1/30/2014 15:37,1,0,1,1,0,1
66793,162007,1321928,1,67792,,12970,0,66770,,"Omg.... you do realize that you are a nasty pervert, right? Geezus, calm urself!!! ",1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:40,1/30/2014 15:40,1,0,1,1,0,0
66816,225064,1445165,1,67815,,12427,0,66804,,bitch i got my diploma and im going to college in a month so shut up #dumbsluts,1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:46,1/30/2014 15:46,1,0,1,1,0,1
66819,225064,1445165,1,67818,,12427,0,66804,,im on here just to fuck with u faggots its hilarious,1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:46,1/30/2014 15:46,1,1,1,1,0,1
66838,225064,1445165,1,67837,,12427,0,66799,,wassup then bruh i want the fade then kenneth if u wanna talk shit then whr u at bitch,1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:49,1/30/2014 15:51,1,0,1,1,0,1
66845,225064,1445165,1,67844,,12427,0,66799,,shut up hoe just know i want the fade fuck nigga u wanna b a lil pussy ass snitch then wassup bruh put them hands up fuckboy,1,,,0,0,0,0,,,,4294967295,0,1/30/2014 15:51,1/30/2014 15:53,1,1,1,1,1,1
67149,688097,951820,1,68148,,11535,0,67122,,"inbox me yakelin ill show u my fist 1+1=2 fist in your mouth
",1,,,0,0,0,0,,,,4294967295,0,1/30/2014 20:44,1/30/2014 20:44,1,0,1,1,1,1
74862,312816,1645031,1,75861,,13402,0,74856,,"i think they are both stupid, like you sara vargas",1,,,0,0,0,0,,,,4294967295,0,2/6/2014 14:13,2/6/2014 14:47,1,0,1,1,0,0
75520,161566,1321483,1,76519,,12970,0,75515,,Why your booty smell like a bag of fish sicks,1,,,0,0,0,0,,,,4294967295,0,2/6/2014 19:23,2/6/2014 21:07,1,0,1,1,0,1
75523,161566,1321483,1,76522,,12970,0,75515,,your t*****s hang down like orangutang bits b***h you stank,1,,,0,0,0,0,,,,4294967295,0,2/6/2014 19:25,2/6/2014 19:25,1,0,1,1,1,1
76728,2706,1009649,1,77727,,11930,0,76697,,darn now I have a 75 in science :( stupid da test...well thanks ,0,,,1,0,0,0,,,,4294967295,0,2/7/2014 21:54,2/7/2014 21:54,1,0,1,1,0,0
77588,325043,1657456,1,78587,,13068,0,77507,,um no :[ i am still confused! i feel like the biggest idiot in the world right now!,0,,,1,0,0,0,,,,4294967295,0,2/8/2014 23:37,2/8/2014 23:37,1,0,1,1,0,0
83441,363402,1756861,1,84440,,13586,0,66804,,"You* for real* the #@$%*. you get the point, not only do you need english help but you talk like your a angry 7 year old.",1,,,0,0,0,0,,,,4294967295,0,2/14/2014 12:24,2/14/2014 12:24,1,0,1,1,0,1
86697,406302,1888254,1,87696,,13803,0,86657,,ELI!!! UHHHHHH don't be a jerk and Lauren I have 300,1,,,0,0,0,0,,,,4294967295,0,2/19/2014 14:43,2/19/2014 14:43,1,0,1,1,0,0
95312,406503,1888281,1,96311,,13803,0,95259,,t     h     a     n    k     s            g    u     y     s!!!,0,,,1,0,0,0,,,,4294967295,0,2/26/2014 14:42,2/26/2014 14:42,1,1,1,1,1,1
95365,405559,1888144,1,96364,,13803,0,95344,,where are my points??? DANG HOW MANY TIMES DO I GOTTA POST CRAP TO GET POINTS!!!!,1,,,1,0,0,0,,,,4294967295,0,2/26/2014 14:53,2/26/2014 14:53,1,0,1,1,0,0
97702,321578,1653536,1,98701,,13413,0,97680,,"Oh, I hate you. And so does the Joker, my boyfriend. So there :P",1,,,1,0,0,0,,,,4294967295,0,2/27/2014 18:30,2/27/2014 18:30,1,1,1,1,0,0
102425,213803,1427844,1,103424,,13087,0,102418,,the algebra gods have no pity on mere mortal scum like yourself ,1,,,0,0,0,0,,,,4294967295,0,3/3/2014 13:25,3/3/2014 13:25,1,0,1,1,0,0
